1465109186.785674776 CoordinatorMain.cc:97 in main NOTICE[1]: Command line: /home/syang0/.netbeans/remote/rcmaster.scs.stanford.edu/stephens-macbook-pro-6.local-MacOSX-x86_64/Users/syang0/Desktop/ramcloud_curr/obj.dataViz/coordinator -C tcp:host=rc19,port=12246 -l NOTICE --logFile logs/20160604234626/coordinator.rc19.log
1465109186.785684909 CoordinatorMain.cc:98 in main NOTICE[1]: Coordinator process id: 5954
1465109186.804694803 CoordinatorMain.cc:109 in main NOTICE[1]: coordinator: Listening on tcp:host=rc19,port=12246
1465109186.804718170 CoordinatorMain.cc:112 in main NOTICE[1]: PortTimeOut=-1
1465109186.804722139 PortAlarm.cc:160 in setPortTimeout NOTICE[1]: Set PortTimeout to -1 (ms: -1 to disable.)
1465109186.804737647 CoordinatorMain.cc:139 in main NOTICE[1]: Cluster name is 'main', external storage workspace is '/ramcloud/main/'
1465109186.806606237 CoordinatorClusterClock.cc:159 in recoverClusterTime WARNING[1]: couldn't find "coordinatorClusterClock" object in external storage; starting new clock from zero; benign if starting new cluster from scratch, may cause linearizability failures otherwise
1465109186.806620159 CoordinatorClusterClock.cc:164 in recoverClusterTime NOTICE[1]: initializing CoordinatorClusterClock: startingClusterTime = 0
1465109186.808501267 CoordinatorUpdateManager.cc:68 in init WARNING[2]: couldn't find "coordinatorUpdateManager" object in external storage; starting new cluster from scratch
1465109186.808762244 CoordinatorServerList.cc:401 in recover NOTICE[2]: CoordinatorServerList recovery completed: 0 master(s), 0 backup(s), 0 update(s) to disseminate, server list version is 0
1465109186.808768956 TableManager.cc:764 in recover NOTICE[2]: Table recovery complete: 0 table(s)
1465109186.808788282 CoordinatorService.cc:112 in init NOTICE[2]: Coordinator state has been recovered from external storage; starting service
1465109186.808800576 MemoryMonitor.cc:62 in handleTimerEvent NOTICE[3]: Memory usage now 94 MB (increased 94 MB)
1465109186.842766874 TcpTransport.cc:324 in handleFileEvent ERROR[1]: Received GET_SERVER_LIST request from tcp:host=192.168.0.119,port=41640 with 8 bytes
